"permutations";"#UUIDs";"#classes";"#clone_configs"
"9_10_15_2_6_16_11_8_7_1_12_14_4_5";"12339";"2";"28"
"1_10_2_15";"9700";"0";"0"
"11_5_9_2_4_7_1_3_13_10_8";"11296";"1";"22"
"1_13_9_4_16";"12088";"2";"10"
"16_12_13_1";"11597";"0";"0"
"11_12_8_14_5_3_4_9_10_7_16_15_1";"11643";"1";"26"
"4_1_5_8";"11355";"1";"8"
"14_7_10_1_9_16";"10011";"0";"0"
"1_11_6_14_15_5_3";"11820";"2";"14"
"7_4_12_15_16_13_9_5_1_10_11";"12329";"2";"22"
"2_9_8_4_1_6";"11753";"2";"12"
"4_1_12_8";"11589";"1";"8"
"13_11_3_1_14_16_5_2_7_15_8_4";"11851";"2";"24"
"2_1_4_15_16_11_3_8_13_6";"11762";"2";"20"
"1";"6050";"0";"0"
"2_6_3_14_11_1_13_5_15_9_10_16_12_8_4";"12225";"2";"30"
"8_1_5_16_14_6_15_4_2_12_7";"12127";"2";"22"
"13_4_8_1";"11878";"2";"8"
"16_1";"9722";"0";"0"
"12_14_1_8_5_2_4_6_7";"12046";"2";"18"
"8_5_4_14_1_10";"12195";"2";"12"
"1_15_6_9_5_16_11";"11557";"2";"14"
"12_1_6";"11707";"0";"0"
"2_1_4_9_7_14_16";"12013";"2";"14"
"7_1";"9297";"0";"0"
"9_4_10_1_11";"11452";"2";"10"
"4_11_16_1_8_6_5";"11644";"1";"14"
"9_8_2_5_4_15_3_1";"12146";"2";"16"
"8_2_7_1_15_3_10_11_5_9_12_6_13";"12226";"2";"26"
"1_14_4_10_13";"12111";"2";"10"
"4_1";"10016";"1";"4"
"8_3_16_6_1_13";"11623";"2";"12"
"7_12_1";"11515";"0";"0"
"3_1_15_4_8";"11431";"1";"10"
"10_9_12_1_14_4_2_11_8_15_3_16_6";"12202";"2";"26"
"14_13_5_8_4_7_3_6_1";"11885";"2";"18"
"7_6_12_4_1_8";"12041";"2";"12"
"9_15_10_12_1_2_5_3";"11563";"2";"16"
"1_15_7";"9720";"0";"0"
"8_1_4_10_9_11_5_15";"12030";"2";"16"
"1_12_7_13_9_4_16_15_11_3_5";"12388";"2";"22"
"5_1_4_9";"11314";"2";"8"
"3_16_2_14_7_12_1_9_4";"11628";"1";"18"
"4_1_8_16_5_2_3_9_13_6_15_11_12_7";"11871";"1";"28"
"9_1";"7118";"0";"0"
"1_11_13_10_14_8_9_16_2_12_5_3_6_15";"12074";"2";"28"
"15_3_1_6_2_12_13_9";"11994";"2";"16"
"7_10_1_4_5_13_15_9_3_2";"12186";"2";"20"
"16_8_11_9_2_7_1";"11930";"2";"14"
"13_2_5_1_9_6";"9715";"0";"0"
"14_13_8_11_1_10_6";"11887";"2";"14"
"4_11_12_1_10_6_16_3_2_8_13_5_14";"11910";"1";"26"
"14_9_12_7_15_1_3_8";"12243";"2";"16"
"16_7_15_9_1_3_4_12_10";"11835";"2";"18"
"3_11_8_16_15_9_4_7_12_1_5_14_13";"11652";"1";"26"
"1";"6050";"0";"0"
"15_4_8_11_14_9_13_12_7_10_5_6_3_16_1";"12120";"2";"30"
"11_14_2_15_10_9_1_6_16_12_13_8_7";"11679";"1";"26"
"1";"6050";"0";"0"
"2_9_14_10_3_5_16_1_8_13_15_11";"12396";"2";"24"
"5_1_2_9_4_6_3_14_10_7_13_15_11_16";"12356";"2";"28"
"10_7_3_2_9_15_16_11_1_14";"12797";"2";"20"
"11_4_13_15_2_5_1_3_7_9";"11588";"1";"20"
"11_4_1_3";"11091";"1";"8"
"6_8_14_1_3_10";"11461";"2";"12"
"1";"6050";"0";"0"
"6_13_1_8_16_5_10_11_12_3_14_4_15_7";"12263";"2";"28"
"16_1";"9722";"0";"0"
"1_6";"8280";"0";"0"
"2_1_11_7_4_8_16_6_5_3_9_13";"12077";"2";"24"
"7_11_12_4_16_13_14_5_8_2_3_9_1_10";"12394";"2";"28"
"13_7_14_5_1_8_11_12_6_15_3";"12337";"2";"22"
"15_13_1_3";"11460";"2";"8"
"3_2_13_1";"11169";"1";"8"
"6_1_9_16_10_12_2_8_15_11_7_3_5_14";"12404";"2";"28"
"5_8_12_15_14_10_9_1_6_13_7_2_16_3_11";"11729";"2";"30"
"1_9";"7118";"0";"0"
"1_13_12_9_3_10_8_16_7_2_4";"12442";"2";"22"
"6_13_14_16_4_3_10_9_11_8_12_1_2";"12244";"2";"26"
"2_7_16_11_1_5_12";"12619";"2";"14"
"1_16_14";"9747";"0";"0"
"1_15_7";"9720";"0";"0"
"14_16_2_1_7_6_3_4_15_8_9_5_13_12_10";"12206";"2";"30"
"1";"6050";"0";"0"
"12_8_2_7_13_1_10";"11672";"0";"0"
"6_10_5_13_4_1_7_2";"12351";"2";"16"
"1_6_7_14_13_9_16_11";"11597";"2";"16"
